payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
4.08;2.5;10;ag19;6.250176722;66.3054264;39.3527036;0.543910218;2805.625337;680;735.0138076;876.7579178;54.66666667;0;1;0;818.5905752;0;0.625;100.0028276
4.08;2;14;ag19;6.402377614;176.0777514;14.59101585;0.597898014;2958.633349;680;807.9702895;924.5729217;54.66666667;0;1;0;858.8477371;0;0.285714286;224.0832165
4.08;2;16;ag19;6.550775548;159.3042465;13.68552332;0.604735682;2971.328712;680;817.2103805;928.5402225;54.66666667;0;1;0;863.250201;0;0.25;262.0310219
4.08;2.5;12;ag19;7.014609595;148.790491;13.8161474;0.567838686;2841.972275;680;767.3495756;888.1163358;54.66666667;0;1;0;833.1553038;0;0.520833333;134.6805042
4.08;2.5;14;ag19;6.988628232;142.231487;13.93783143;0.564283868;2874.212026;680;762.5457673;898.191258;54.66666667;0;1;0;834.9123418;0;0.446428571;156.5452724
4.08;2.5;16;ag19;6.985669623;132.4993015;13.8567271;0.575099159;2896.241957;680;777.1610251;905.0756115;54.66666667;0;1;0;842.0788789;0;0.390625;178.8331423
4.08;3;12;ag19;7.193780456;101.6498642;19.52127711;0.526107472;2746.128431;680;710.9560427;858.1651348;54.66666667;0;1;0;804.3737258;0;0.75;95.91707274
4.08;3;14;ag19;7.684838831;91.22089452;12.65215429;0.548107164;2780.144988;680;740.6853567;868.7953087;54.66666667;0;1;0;817.8268885;0;0.642857143;119.5419374
4.08;3;16;ag19;7.625212159;83.14359234;12.78441304;0.542611733;2810.625492;680;733.2590987;878.3204661;54.66666667;0;1;0;818.5265216;0;0.5625;135.5593273
4.08;3.5;12;ag19;7.153442634;67.51011536;24.65499878;0.50654248;2626.551978;680;684.5168649;820.797493;54.66666667;0;1;0;783.104786;0;1.020833333;70.07454008
4.59;1.5;10;ag19;6.527138819;188.9733847;11.47045668;0.588536443;2932.635603;765;795.319518;916.4486259;54.66666667;0;1;0;880.256048;0;0.225;290.0950586
4.59;1.5;8;ag19;6.202955518;209.592712;13.43451358;0.586123066;2918.946401;765;792.0581978;912.1707502;54.66666667;0;1;0;877.7429827;0;0.28125;220.5495295
4.59;1.5;12;ag19;6.503606162;183.3704185;10.26599864;0.602049369;2953.179275;765;813.5802283;922.8685234;54.66666667;0;1;0;888.4829172;0;0.1875;346.8589953
4.59;2;8;ag19;6.479028976;108.3949731;27.49276998;0.560792406;2829.676567;765;757.8275759;884.2739271;54.66666667;0;1;0;857.0338343;0;0.5;129.5805795
4.59;1.5;14;ag19;6.586985523;170.8868846;8.073681316;0.597988755;2961.436044;765;808.0929122;925.4487638;54.66666667;0;1;0;887.513892;0;0.160714286;409.856877
4.59;2;10;ag19;6.918543429;168.3552106;13.05939042;0.560636033;2874.410671;765;757.6162614;898.2533348;54.66666667;0;1;0;861.6231987;0;0.4;172.9635857
4.59;1.5;16;ag19;6.583761456;162.4014687;6.322360225;0.605166697;2961.485714;765;817.7928336;925.4642855;54.66666667;0;1;0;890.752373;0;0.140625;468.1785924
4.59;2;12;ag19;7.005949294;152.6299743;12.69142022;0.568357741;2903.086191;765;768.0510007;907.2144346;54.66666667;0;1;0;868.0884785;0;0.333333333;210.1784788
4.59;2.5;8;ag19;6.846317965;66.45665445;32.41321752;0.534704877;2680.664836;765;722.5741583;837.7077614;54.66666667;0;1;0;829.7606399;0;0.78125;87.63286995
4.59;2;14;ag19;6.99362393;145.0614126;12.46852611;0.583264273;2923.795672;765;788.1949635;913.6861475;54.66666667;0;1;0;876.9603703;0;0.285714286;244.7768375
4.59;2.5;10;ag19;6.851133565;100.7951121;25.28945104;0.547971637;2782.763751;765;740.5022116;869.6136722;54.66666667;0;1;0;846.3719613;0;0.625;109.618137
4.59;2;16;ag19;7.12023239;129.4222582;11.53361556;0.578204718;2935.04947;765;781.3577266;917.2029592;54.66666667;0;1;0;875.8535619;0;0.25;284.8092956
4.59;2.5;12;ag19;7.626224332;121.1176678;12.22653769;0.558962908;2817.111801;765;755.3552805;880.3474378;54.66666667;0;1;0;854.9009061;0;0.520833333;146.4235072
