payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected
1.02;3.5;14; ag45c;3.186215447;5.28757778;100;0.642976563;2675.462874;170;868.8872467;836.082148;54.66666667;0;1.05;0;713.6392881;713.6392881
1.02;3.5;16; ag45c;3.13835097;5.399799709;100;0.649495329;2689.015614;170;877.6963899;840.3173794;54.66666667;0;1.05;0;718.2048192;718.2048192
2.04;3.5;8; ag45c;4.926525616;6.357878756;77.41607955;0.589252004;2425.773278;340;796.2864915;758.0541493;54.66666667;0;1.05;0;720.4192243;720.4192243
1.02;3;12; ag45c;2.962836447;3.336493111;100;0.6428378;2739.64225;170;868.69973;856.138203;54.66666667;0;1.05;0;720.5932766;720.5932766
1.02;2.5;10; ag45c;2.772377518;3.622541447;100;0.638063169;2808.370567;170;862.2475261;877.6158022;54.66666667;0;1.05;0;725.8521649;725.8521649
1.02;3;14; ag45c;2.89805367;5.956996338;100;0.649344826;2787.032832;170;877.4930086;870.94776;54.66666667;0;1.05;0;728.854269;728.854269
1.02;2;8; ag45c;2.598970012;6.784858506;100;0.633260792;2882.356578;170;855.7578275;900.7364305;54.66666667;0;1.05;0;731.6729903;731.6729903
2.55;3.5;8; ag45c;5.480114037;9.352981455;66.53087747;0.553054976;2416.239569;425;747.3715886;755.0748653;54.66666667;0;1.05;0;732.0062589;732.0062589
1.53;3;8; ag45c;3.889722901;4.09055752;100;0.654988822;2571.809953;255;885.1200303;803.6906104;54.66666667;0;1.05;0;737.7337242;737.7337242
1.53;3.5;10; ag45c;4.043614816;5.940121752;100;0.663087779;2542.434184;255;896.0645666;794.5106824;54.66666667;0;1.05;0;738.3513371;738.3513371
1.02;3;16; ag45c;2.851058718;6.085747352;100;0.656411368;2864.13119;170;887.0423885;895.040997;54.66666667;0;1.05;0;740.6291849;740.6291849
1.02;2.5;12; ag45c;2.697002455;6.500157961;100;0.650487603;2891.369049;170;879.0373011;903.5528278;54.66666667;0;1.05;0;740.8065451;740.8065451
1.02;2.5;14; ag45c;2.637717659;6.683178005;100;0.656387827;2936.081473;170;887.0105767;917.5254603;54.66666667;0;1.05;0;748.487613;748.487613
1.02;2;10; ag45c;2.503028317;7.104972519;100;0.648408872;2970.799198;170;876.228206;928.3747494;54.66666667;0;1.05;0;748.5110344;748.5110344
1.53;3.5;12; ag45c;3.873569312;6.314885691;100;0.673917169;2620.024346;255;910.6988766;818.7576082;54.66666667;0;1.05;0;751.9597697;751.9597697
1.53;3;10; ag45c;3.645807977;6.840384224;100;0.667885198;2672.530923;255;902.5475644;835.1659133;54.66666667;0;1.05;0;754.8497172;754.8497172
1.02;2.5;16; ag45c;2.631096868;6.713999901;100;0.663075546;2969.050994;170;896.0480346;927.8284358;54.66666667;0;1.05;0;755.2567646;755.2567646
1.53;2.5;8; ag45c;3.471846623;7.290692778;100;0.660865548;2723.606844;255;893.0615513;851.1271387;54.66666667;0;1.05;0;757.1160415;757.1160415
2.04;3.5;10; ag45c;4.603834816;7.05455815;86.1715023;0.641083885;2539.511311;340;866.3295746;793.5972848;54.66666667;0;1.05;0;757.3744008;757.3744008
3.57;3.5;8; ag45c;6.593922458;14.81079345;50.80738662;0.487757328;2392.711275;595;659.1315243;747.7222735;54.66666667;0;1.05;0;758.0488292;758.0488292
1.02;2;12; ag45c;2.461462367;7.256719018;100;0.662765134;3018.400499;170;895.6285591;943.250156;54.66666667;0;1.05;0;760.5075503;760.5075503
2.04;3;8; ag45c;4.431232374;7.447845473;89.73861459;0.642769606;2568.083376;340;868.6075757;802.5260551;54.66666667;0;1.05;0;761.2967708;761.2967708
1.53;3.5;14; ag45c;3.769645974;6.564310746;100;0.682345833;2680.036132;255;922.0889636;837.5112914;54.66666667;0;1.05;0;762.5100892;762.5100892
1.02;1.5;10; ag45c;2.292226305;11.98272119;100;0.647241113;3108.99135;170;874.6501532;971.5597969;54.66666667;0;1.05;0;763.0734826;763.0734826
1.02;2;16; ag45c;2.4287401;11.23667479;100;0.664940274;3075.623404;170;898.5679377;961.1323138;54.66666667;0;1.05;0;767.795088;767.795088
1.53;3;12; ag45c;3.529924868;7.15302427;100;0.680684849;2744.198544;255;919.8443911;857.5620449;54.66666667;0;1.05;0;768.7422526;768.7422526
1.02;2;14; ag45c;2.434833332;11.18802878;100;0.673935505;3051.605808;170;910.7236548;953.626815;54.66666667;0;1.05;0;769.4226644;769.4226644
1.02;1.5;12; ag45c;2.270041739;12.13271824;100;0.653398451;3140.669918;170;882.9708803;981.4593493;54.66666667;0;1.05;0;769.4505804;769.4505804
1.02;1.5;8; ag45c;2.335493666;7.710212214;100;0.674153311;3058.605588;170;911.0179882;955.8142462;54.66666667;0;1.05;0;770.2912821;770.2912821
2.55;3.5;10; ag45c;5.17234429;10.29070439;73.38630481;0.608363328;2531.309045;425;822.112605;791.0340765;54.66666667;0;1.05;0;770.7513385;770.7513385
1.02;1.5;14; ag45c;2.263131864;17.06449419;100;0.654847735;3161.348697;170;884.929371;987.9214679;54.66666667;0;1.05;0;772.3977936;772.3977936
1.53;2;14; ag45c;2.998605963;16.57644134;100;0.616782344;3055.333886;255;833.4896546;954.7918393;54.66666667;0;1.05;0;772.5485228;772.5485228
1.53;2.5;10; ag45c;3.32951857;7.712345007;100;0.674282161;2812.769293;255;911.19211;878.9904041;54.66666667;0;1.05;0;773.2138799;773.2138799
1.53;3.5;16; ag45c;3.726755181;6.680145021;100;0.690354809;2757.299916;255;932.9119034;861.6562238;54.66666667;0;1.05;0;774.7488445;774.7488445
4.08;3.5;8; ag45c;7.13756351;21.79700661;42.83738622;0.464470238;2382.977016;680;627.6624834;744.6803175;54.66666667;0;1.05;0;775.7199803;775.7199803
1.53;2;8; ag45c;3.136216328;8.318502326;100;0.667529122;2886.22028;255;902.0663817;901.9438375;54.66666667;0;1.05;0;778.0535767;778.0535767
5.1;3.5;8; ag45c;8.254687721;41.57851914;28.9797731;0.433598154;2352.002514;850;585.9434514;735.0007855;54.66666667;0;1;0;778.3147456;778.3147456
3.06;2.5;16; ag45c;5.077555815;48.14065601;66.21550348;0.54865635;2944.194809;510;741.4274996;920.0608778;54.66666667;0;1;0;778.4961258;778.4961258
3.06;3;8; ag45c;5.528461848;14.18211645;65.14990771;0.562562368;2546.136252;510;760.2194161;795.6675789;54.66666667;0;1.05;0;780.4604483;780.4604483
1.53;1.5;8; ag45c;2.87700314;13.05866959;100;0.632430902;3062.648023;255;854.636354;957.0775071;54.66666667;0;1.05;0;780.7498514;780.7498514
