payload,span,aspect_ratio,airfoil,num_fowler_segments,total mass,wing_area,wing_loading,take_off_length,climb_height,efficiency_points,distance,score_payload,score_efficiency,score_distance,b_loading,penalty_current,take_off_factor,penalty_round,score_round
4.08, 1.8, 8.0, ag45c, 0, 5.735804890882067, 0.405, 14.162481212054484, 69.19538775993554, 45.932699558227846, 0.5665833183536968, 2887.660966894454, 680.0, 765.653132910401, 902.3940521545169, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 1.8, 9.0, ag45c, 0, 5.7091765703137956, 0.36000000000000004, 15.858823806427209, 82.56041548914327, 43.857242623843646, 0.5944111733408134, 2918.146981080262, 680.0, 803.2583423524505, 911.9209315875819, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 2.0, 9.0, ag45c, 0, 5.818083709556542, 0.4444444444444444, 13.09068834650222, 62.943571145830056, 47.284575663446525, 0.5790991029476018, 2874.3908781988903, 680.0, 782.566355334597, 898.2471494371533, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 2.2, 8.0, ag45c, 0, 5.984033449953717, 0.6050000000000001, 9.890964380088787, 43.08360533226161, 49.810093173461844, 0.5844937387089851, 2757.1987525651557, 680.0, 789.8564036607908, 861.6246101766112, 54.666666666666664, 0.0, 1.0, 0.0, 831.8270046124674
4.08, 2.0, 8.0, ag45c, 0, 5.85465843345357, 0.5, 11.70931686690714, 53.19851544477206, 48.501554249485146, 0.548060298206252, 2839.4382217553, 680.0, 740.6220246030433, 887.3244442985313, 54.666666666666664, 0.0, 1.0, 0.0, 823.9821563005249
4.08, 2.0, 10.0, ag45c, 0, 5.807032527071899, 0.4, 14.517581317679747, 72.93744320057722, 45.64235664119101, 0.5759512925066212, 2901.1318924317015, 680.0, 778.3125574413801, 906.6037163849068, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 1.8, 10.0, ag45c, 0, 5.703902594891078, 0.324, 17.60463763855271, 99.07188904149054, 40.79790396446905, 0.5990863218622744, 2940.759556911047, 680.0, 809.5761106246952, 918.9873615347022, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 2.0, 11.0, ag45c, 0, 5.802738996517502, 0.36363636363636365, 15.95753224042313, 85.9000918106722, 43.17751199227616, 0.5943787800250321, 2922.157068037803, 680.0, 803.2145676013946, 913.1740837618136, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 2.2, 9.0, ag45c, 0, 5.935856516099801, 0.5377777777777779, 11.037749720020289, 49.9292944304551, 49.20462371300332, 0.5399025187099493, 2796.1375564208543, 680.0, 729.5979982566882, 873.7929863815169, 54.666666666666664, 0.0, 1.0, 0.0, 815.7969948794017
4.08, 1.8, 11.0, ag45c, 0, 5.711318944583077, 0.29454545454545455, 19.39028036741168, 119.1181520029951, 37.256249243158415, 0.5957211709601564, 2957.5314700330414, 680.0, 805.0286094056167, 924.2285843853253, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
4.08, 2.2, 10.0, ag45c, 0, 5.917824746427735, 0.4840000000000001, 12.226910633115153, 59.027749637034084, 47.5415045425662, 0.5831546280600214, 2857.7315630870194, 680.0, 788.0467946757046, 893.0411134646935, 54.666666666666664, 0.0, 1.0, 0.0, 841.6959693801327
4.08, 2.6, 8.0, ag45c, 0, 6.282683886441426, 0.8450000000000001, 7.435128859693994, 30.883962540772995, 49.949096453206415, 0.5534276190151464, 2648.304205303691, 680.0, 747.8751608312788, 827.5950641574035, 54.666666666666664, 0.0, 1.05, 0.0, 846.8145787460387
4.08, 2.4, 8.0, ag45c, 0, 6.130987620018401, 0.72, 8.515260583358891, 35.7808604899764, 50.51220005048131, 0.569324345716727, 2704.3048735340176, 680.0, 769.3572239415229, 845.0952729793805, 54.666666666666664, 0.0, 1.05, 0.0, 860.4583739223161
4.08, 2.2, 11.0, ag45c, 0, 5.9085830263055135, 0.44000000000000006, 13.428597787057983, 68.5799922124017, 45.94368944546129, 0.5819215025705515, 2881.863113726916, 680.0, 786.3804088791237, 900.5822230396611, 54.666666666666664, 0.0, 0.0, 0.0, 0.0
