t, u
15.4,11.883
15.5,11.883
15.6,11.883
15.7,11.881
15.8,11.881
15.9,11.88
16,11.877
16.1,11.877
16.2,11.877
16.3,11.877
16.4,11.877
16.5,11.876
16.6,11.875
16.7,11.873
16.8,11.873
16.9,11.872
17,11.872
17.1,11.87
17.2,11.87
17.3,11.87
17.4,11.868
17.5,11.868
17.6,11.868
17.7,11.866
17.8,11.865
17.9,11.865
18,11.863
18.1,11.863
18.2,11.862
18.3,11.861
18.4,11.86
18.5,11.86
18.6,11.858
18.7,11.857
18.8,11.857
18.9,11.856
19,11.854
19.1,11.854
19.2,11.854
19.3,11.852
19.4,11.852
19.5,11.852
19.6,11.852
19.7,11.849
19.8,11.849
19.9,11.847
20,11.846
20.1,11.846
20.2,11.845
20.3,11.837
20.4,11.831
20.5,11.831
20.6,11.831
20.7,11.83
20.8,11.829
20.9,11.826
21,11.826
21.1,11.824
21.2,11.824
21.3,11.822
21.4,11.821
21.5,11.82
21.6,11.82
21.7,11.819
21.8,11.819
21.9,11.817
22,11.817
22.1,11.817
22.2,11.816
22.3,11.816
22.4,11.814
22.5,11.813
22.6,11.813
22.7,11.811
22.8,11.811
22.9,11.811
23,11.808
23.1,11.808
23.2,11.808
23.3,11.808
23.4,11.806
23.5,11.806
23.6,11.806
23.7,11.803
23.8,11.802
23.9,11.802
24,11.801
24.1,11.8
24.2,11.799
24.3,11.799
24.4,11.799
24.5,11.799
24.6,11.799
24.7,11.799
24.8,11.795
24.9,11.794
25,11.793
25.1,11.791
25.2,11.791
25.3,11.79
25.4,11.79
25.5,11.789
25.6,11.788
25.7,11.788
25.8,11.786
25.9,11.786
26,11.785
26.1,11.784
26.2,11.784
26.3,11.783
26.4,11.782
26.5,11.782
26.6,11.781
26.7,11.781
26.8,11.78
26.9,11.779
27,11.779
27.1,11.778
27.2,11.776
27.3,11.776
27.4,11.776
27.5,11.774
27.6,11.774
27.7,11.774
27.8,11.773
27.9,11.772
28,11.772
28.1,11.771
28.2,11.771
28.3,11.771
28.4,11.77
28.5,11.77
28.6,11.769
28.7,11.769
28.8,11.768
28.9,11.768
29,11.768
29.1,11.767
29.2,11.767
29.3,11.766
29.4,11.766
29.5,11.765
29.6,11.763
29.7,11.763
29.8,11.763
29.9,11.763
30,11.762
30.1,11.761
30.2,11.76
30.3,11.76
30.4,11.76
30.5,11.758
30.6,11.758
30.7,11.756
30.8,11.755
30.9,11.754
31,11.754
31.1,11.752
31.2,11.751
31.3,11.751
31.4,11.75
31.5,11.749
31.6,11.749
31.7,11.749
31.8,11.747
31.9,11.746
32,11.746
32.1,11.746
32.2,11.745
32.3,11.745
32.4,11.744
32.5,11.744
32.6,11.742
32.7,11.741
32.8,11.741
32.9,11.738
33,11.738
33.1,11.738
33.2,11.738
33.3,11.738
33.4,11.737
33.5,11.735
33.6,11.735
33.7,11.735
33.8,11.735
33.9,11.733
34,11.733
34.1,11.733
34.2,11.732
34.3,11.73
34.4,11.73
34.5,11.73
34.6,11.73
34.7,11.73
34.8,11.73
34.9,11.727
35,11.727
35.1,11.726
35.2,11.726
35.3,11.726
35.4,11.726
35.5,11.725
35.6,11.724
35.7,11.723
35.8,11.723
35.9,11.723
36,11.722
36.1,11.721
36.2,11.721
36.3,11.72
36.4,11.72
36.5,11.719
36.6,11.719
36.7,11.719
36.8,11.718
36.9,11.718
37,11.717
37.1,11.717
37.2,11.715
37.3,11.715
37.4,11.715
37.5,11.714
37.6,11.714
37.7,11.714
37.8,11.713
37.9,11.712
38,11.712
38.1,11.712
38.2,11.711
38.3,11.71
38.4,11.71
38.5,11.71
38.6,11.709
38.7,11.709
38.8,11.707
38.9,11.707
39,11.707
39.1,11.707
39.2,11.706
39.3,11.704
39.4,11.704
39.5,11.704
39.6,11.704
39.7,11.704
39.8,11.704
39.9,11.703
40,11.702
40.1,11.702
40.2,11.702
40.3,11.701
40.4,11.701
40.5,11.701
40.6,11.7
40.7,11.7
40.8,11.7
40.9,11.699
41,11.698
41.1,11.698
41.2,11.698
41.3,11.695
41.4,11.695
41.5,11.695
41.6,11.695
41.7,11.694
41.8,11.694
41.9,11.694
42,11.692
42.1,11.692
42.2,11.692
42.3,11.692
42.4,11.692
42.5,11.691
42.6,11.69
42.7,11.689
42.8,11.689
42.9,11.689
43,11.688
43.1,11.688
43.2,11.677
43.3,11.674
43.4,11.674
43.5,11.674
43.6,11.674
43.7,11.674
43.8,11.674
43.9,11.673
44,11.672
44.1,11.672
44.2,11.67
44.3,11.67
44.4,11.67
44.5,11.67
44.6,11.67
44.7,11.668
44.8,11.667
44.9,11.666
45,11.665
45.1,11.665
45.2,11.664
45.3,11.663
45.4,11.661
45.5,11.661
45.6,11.66
45.7,11.659
45.8,11.658
45.9,11.658
46,11.656
46.1,11.656
46.2,11.656
46.3,11.655
46.4,11.654
46.5,11.654
46.6,11.654
46.7,11.653
46.8,11.653
46.9,11.652
47,11.652
47.1,11.65
47.2,11.65
47.3,11.65
47.4,11.648
47.5,11.648
47.6,11.647
47.7,11.646
47.8,11.646
47.9,11.646
48,11.646
48.1,11.645
48.2,11.645
48.3,11.645
48.4,11.644
48.5,11.644
48.6,11.644
48.7,11.642
48.8,11.642
48.9,11.642
49,11.641
49.1,11.641
49.2,11.641
49.3,11.64
49.4,11.639
49.5,11.639
49.6,11.639
49.7,11.638
49.8,11.638
49.9,11.637
50,11.637
50.1,11.635
50.2,11.635
50.3,11.634
50.4,11.633
50.5,11.633
50.6,11.632
50.7,11.631
50.8,11.63
50.9,11.63
51,11.629
51.1,11.628
51.2,11.627
51.3,11.627
51.4,11.625
51.5,11.625
51.6,11.624
51.7,11.622
51.8,11.621
51.9,11.621
52,11.619
52.1,11.618
52.2,11.618
52.3,11.617
52.4,11.616
52.5,11.614
52.6,11.614
52.7,11.613
52.8,11.611
52.9,11.611
53,11.611
53.1,11.608
53.2,11.608
53.3,11.607
53.4,11.606
53.5,11.605
53.6,11.604
53.7,11.603
53.8,11.602
53.9,11.601
54,11.6
54.1,11.598
54.2,11.598
54.3,11.597
54.4,11.597
54.5,11.595
54.6,11.594
54.7,11.592
54.8,11.591
54.9,11.59
55,11.589
55.1,11.588
55.2,11.587
55.3,11.586
55.4,11.585
55.5,11.584
55.6,11.583
55.7,11.581
55.8,11.58
55.9,11.578
56,11.576
56.1,11.576
56.2,11.574
56.3,11.574
56.4,11.573
56.5,11.572
56.6,11.572
56.7,11.57
56.8,11.569
56.9,11.568
57,11.567
57.1,11.566
57.2,11.565
57.3,11.563
57.4,11.562
57.5,11.561
57.6,11.561
57.7,11.559
57.8,11.558
57.9,11.556
58,11.556
58.1,11.554
58.2,11.553
58.3,11.553
58.4,11.552
58.5,11.55
58.6,11.549
58.7,11.548
58.8,11.546
58.9,11.545
59,11.544
59.1,11.543
59.2,11.542
59.3,11.541
59.4,11.541
59.5,11.541
59.6,11.536
59.7,11.536
59.8,11.535
59.9,11.533
60,11.532
60.1,11.531
60.2,11.529
60.3,11.529
60.4,11.528
60.5,11.528
60.6,11.526
60.7,11.525
60.8,11.524
60.9,11.523
61,11.522
61.1,11.521
61.2,11.519
61.3,11.518
61.4,11.518
61.5,11.517
61.6,11.516
61.7,11.515
61.8,11.514
61.9,11.513
62,11.513
62.1,11.511
62.2,11.51
62.3,11.509
62.4,11.508
62.5,11.507
62.6,11.506
62.7,11.505
62.8,11.504
62.9,11.503
63,11.502
63.1,11.502
63.2,11.5
63.3,11.499
63.4,11.499
63.5,11.497
63.6,11.496
63.7,11.495
63.8,11.495
63.9,11.493
64,11.493
64.1,11.49
64.2,11.49
64.3,11.488
64.4,11.488
64.5,11.488
64.6,11.486
64.7,11.484
64.8,11.484
64.9,11.482
65,11.481
65.1,11.481
65.2,11.479
65.3,11.477
65.4,11.477
65.5,11.477
65.6,11.473
65.7,11.473
65.8,11.473
65.9,11.473
66,11.472
66.1,11.471
66.2,11.47
66.3,11.468
66.4,11.468
66.5,11.468
66.6,11.466
66.7,11.466
66.8,11.466
66.9,11.465
67,11.464
67.1,11.463
67.2,11.462
67.3,11.46
67.4,11.46
67.5,11.459
67.6,11.458
67.7,11.457
67.8,11.457
67.9,11.456
68,11.455
68.1,11.454
68.2,11.453
68.3,11.452
68.4,11.451
68.5,11.45
68.6,11.45
68.7,11.448
68.8,11.448
68.9,11.447
69,11.446
69.1,11.445
69.2,11.444
69.3,11.443
69.4,11.443
69.5,11.443
69.6,11.443
69.7,11.439
69.8,11.439
69.9,11.438
70,11.437
70.1,11.436
70.2,11.436
70.3,11.434
70.4,11.434
70.5,11.433
70.6,11.433
70.7,11.431
70.8,11.431
70.9,11.431
71,11.429
71.1,11.428
71.2,11.428
71.3,11.427
71.4,11.426
71.5,11.425
71.6,11.424
71.7,11.423
71.8,11.423
71.9,11.423
72,11.422
72.1,11.421
72.2,11.421
72.3,11.42
72.4,11.42
72.5,11.419
72.6,11.418
72.7,11.417
72.8,11.417
72.9,11.416
73,11.415
73.1,11.415
73.2,11.414
73.3,11.414
73.4,11.413
73.5,11.413
73.6,11.412
73.7,11.412
73.8,11.411
73.9,11.411
74,11.41
74.1,11.409
74.2,11.409
74.3,11.409
74.4,11.409
74.5,11.409
74.6,11.409
74.7,11.409
74.8,11.406
74.9,11.404
75,11.404
75.1,11.403
75.2,11.403
75.3,11.403
75.4,11.403
75.5,11.4
75.6,11.4
75.7,11.4
75.8,11.4
75.9,11.4
76,11.4
76.1,11.399
76.2,11.399
76.3,11.399
76.4,11.399
76.5,11.398
76.6,11.397
76.7,11.394
76.8,11.393
76.9,11.391
77,11.391
77.1,11.391
77.2,11.391
77.3,11.391
77.4,11.391
77.5,11.391
77.6,11.391
77.7,11.391
77.8,11.391
77.9,11.391
78,11.389
78.1,11.387
78.2,11.384
78.3,11.382
78.4,11.379
78.5,11.378
78.6,11.378
78.7,11.378
78.8,11.378
78.9,11.378
79,11.378
79.1,11.378
79.2,11.377
79.3,11.377
79.4,11.377
79.5,11.375
79.6,11.375
79.7,11.372
79.8,11.372
79.9,11.372
80,11.371
80.1,11.371
80.2,11.37
80.3,11.37
80.4,11.369
80.5,11.368
80.6,11.368
80.7,11.367
80.8,11.365
80.9,11.365
81,11.364
81.1,11.361
81.2,11.36
81.3,11.36
81.4,11.36
81.5,11.36
81.6,11.36
81.7,11.36
81.8,11.36
81.9,11.36
82,11.36
82.1,11.359
82.2,11.359
82.3,11.359
82.4,11.358
82.5,11.357
82.6,11.357
82.7,11.357
82.8,11.356
82.9,11.355
83,11.355
83.1,11.354
83.2,11.352
83.3,11.352
83.4,11.352
83.5,11.352
83.6,11.351
83.7,11.351
83.8,11.35
83.9,11.35
84,11.349
84.1,11.348
84.2,11.347
84.3,11.347
84.4,11.347
84.5,11.347
84.6,11.346
84.7,11.346
84.8,11.346
84.9,11.345
85,11.345
85.1,11.345
85.2,11.344
85.3,11.344
85.4,11.343
85.5,11.343
85.6,11.343
85.7,11.343
85.8,11.343
85.9,11.342
86,11.342
86.1,11.342
86.2,11.34
86.3,11.339
86.4,11.339
86.5,11.339
86.6,11.337
86.7,11.337
86.8,11.337
86.9,11.337
87,11.337
87.1,11.337
87.2,11.337
87.3,11.336
87.4,11.336
87.5,11.336
87.6,11.335
87.7,11.334
87.8,11.334
87.9,11.334
88,11.332
88.1,11.332
88.2,11.332
88.3,11.332
88.4,11.331
88.5,11.331
88.6,11.33
88.7,11.329
88.8,11.329
88.9,11.329
89,11.328
89.1,11.328
89.2,11.328
89.3,11.325
89.4,11.325
89.5,11.325
89.6,11.324
89.7,11.324
89.8,11.323
89.9,11.322
90,11.321
90.1,11.321
90.2,11.321
90.3,11.32
90.4,11.32
90.5,11.319
90.6,11.319
90.7,11.318
90.8,11.317
90.9,11.317
91,11.316
91.1,11.316
91.2,11.316
91.3,11.315
91.4,11.315
91.5,11.314
91.6,11.313
91.7,11.312
91.8,11.312
91.9,11.312
92,11.31
92.1,11.31
92.2,11.31
92.3,11.309
92.4,11.307
92.5,11.307
92.6,11.306
92.7,11.305
92.8,11.305
92.9,11.305
93,11.303
93.1,11.303
93.2,11.303
93.3,11.303
93.4,11.302
93.5,11.302
93.6,11.301
93.7,11.301
93.8,11.301
93.9,11.3
94,11.299
94.1,11.299
94.2,11.298
94.3,11.298
94.4,11.298
94.5,11.298
94.6,11.298
94.7,11.295
94.8,11.294
94.9,11.294
95,11.293
95.1,11.292
95.2,11.292
95.3,11.291
95.4,11.291
95.5,11.29
95.6,11.29
95.7,11.29
95.8,11.29
95.9,11.29
96,11.29
96.1,11.289
96.2,11.289
96.3,11.288
96.4,11.288
96.5,11.287
96.6,11.287
96.7,11.286
96.8,11.285
96.9,11.283
97,11.283
97.1,11.283
97.2,11.283
97.3,11.281
97.4,11.281
97.5,11.281
97.6,11.281
97.7,11.281
97.8,11.28
97.9,11.28
98,11.28
98.1,11.279
98.2,11.278
98.3,11.278
98.4,11.278
98.5,11.278
98.6,11.277
98.7,11.277
98.8,11.275
98.9,11.274
99,11.274
99.1,11.274
99.2,11.274
99.3,11.272
99.4,11.272
99.5,11.272
99.6,11.272
99.7,11.272
99.8,11.27
99.9,11.27
100,11.269
100.1,11.267
100.2,11.267
100.3,11.267
100.4,11.266
100.5,11.266
100.6,11.266
100.7,11.266
100.8,11.265
100.9,11.265
101,11.264
101.1,11.262
101.2,11.262
101.3,11.262
101.4,11.26
101.5,11.259
101.6,11.259
101.7,11.259
101.8,11.258
101.9,11.258
102,11.258
102.1,11.257
102.2,11.257
102.3,11.257
102.4,11.256
102.5,11.255
102.6,11.255
102.7,11.254
102.8,11.253
102.9,11.253
103,11.253
103.1,11.252
103.2,11.252
103.3,11.25
103.4,11.25
103.5,11.25
103.6,11.25
103.7,11.25
103.8,11.249
103.9,11.249
104,11.248
104.1,11.248
104.2,11.248
104.3,11.248
104.4,11.248
104.5,11.246
104.6,11.245
104.7,11.245
104.8,11.243
104.9,11.243
105,11.243
105.1,11.243
105.2,11.243
105.3,11.243
105.4,11.241
105.5,11.24
105.6,11.24
105.7,11.24
105.8,11.239
105.9,11.239
106,11.238
106.1,11.238
106.2,11.236
106.3,11.236
106.4,11.236
106.5,11.235
106.6,11.235
106.7,11.234
106.8,11.234
106.9,11.233
107,11.233
107.1,11.233
107.2,11.232
107.3,11.232
107.4,11.232
107.5,11.231
107.6,11.231
107.7,11.231
107.8,11.231
107.9,11.231
108,11.231
108.1,11.231
108.2,11.23
108.3,11.23
108.4,11.23
108.5,11.23
108.6,11.23
108.7,11.23
108.8,11.23
108.9,11.229
109,11.229
109.1,11.229
109.2,11.228
109.3,11.228
109.4,11.228
109.5,11.227
109.6,11.226
109.7,11.225
109.8,11.225
109.9,11.225
110,11.223
110.1,11.223
110.2,11.222
110.3,11.222
110.4,11.222
110.5,11.221
110.6,11.221
110.7,11.22
110.8,11.219
110.9,11.219
111,11.218
111.1,11.218
111.2,11.217
111.3,11.217
111.4,11.216
111.5,11.215
111.6,11.215
111.7,11.215
111.8,11.214
111.9,11.213
112,11.213
112.1,11.213
112.2,11.213
112.3,11.213
112.4,11.213
112.5,11.211
112.6,11.211
112.7,11.21
112.8,11.209
112.9,11.209
113,11.209
113.1,11.209
113.2,11.207
113.3,11.207
113.4,11.206
113.5,11.206
113.6,11.205
113.7,11.205
113.8,11.204
113.9,11.204
114,11.204
114.1,11.204
114.2,11.202
114.3,11.202
114.4,11.202
114.5,11.202
114.6,11.202
114.7,11.202
114.8,11.2
114.9,11.2
115,11.2
115.1,11.2
115.2,11.199
115.3,11.198
115.4,11.198
115.5,11.198
115.6,11.197
115.7,11.197
115.8,11.196
115.9,11.194
116,11.194
116.1,11.194
116.2,11.194
116.3,11.193
116.4,11.193
116.5,11.192
116.6,11.191
116.7,11.191
116.8,11.191
116.9,11.19
117,11.19
117.1,11.19
117.2,11.189
117.3,11.189
117.4,11.189
117.5,11.187
117.6,11.186
117.7,11.186
117.8,11.186
117.9,11.184
118,11.184
118.1,11.184
118.2,11.184
118.3,11.184
118.4,11.184
118.5,11.183
118.6,11.182
118.7,11.182
118.8,11.181
118.9,11.181
119,11.181
119.1,11.181
119.2,11.18
119.3,11.179
119.4,11.175
119.5,11.175
119.6,11.175
119.7,11.175
119.8,11.175
119.9,11.175
120,11.175
120.1,11.175
120.2,11.175
120.3,11.175
120.4,11.175
120.5,11.174
120.6,11.174
120.7,11.173
120.8,11.172
120.9,11.171
121,11.171
121.1,11.171
121.2,11.171
121.3,11.169
121.4,11.169
121.5,11.169
121.6,11.169
121.7,11.168
121.8,11.168
121.9,11.167
122,11.166
122.1,11.166
122.2,11.166
122.3,11.165
122.4,11.165
122.5,11.164
122.6,11.163
122.7,11.163
122.8,11.163
122.9,11.162
123,11.162
123.1,11.16
123.2,11.158
123.3,11.156
123.4,11.156
123.5,11.156
123.6,11.155
123.7,11.155
123.8,11.155
123.9,11.153
124,11.153
124.1,11.152
124.2,11.152
124.3,11.151
124.4,11.151
124.5,11.151
124.6,11.15
124.7,11.15
124.8,11.149
124.9,11.147
125,11.147
125.1,11.147
125.2,11.147
125.3,11.146
125.4,11.146
125.5,11.145
125.6,11.144
125.7,11.144
125.8,11.144
125.9,11.143
126,11.143
126.1,11.142
126.2,11.142
126.3,11.141
126.4,11.141
126.5,11.141
126.6,11.14
126.7,11.14
126.8,11.139
126.9,11.137
127,11.137
127.1,11.137
127.2,11.137
127.3,11.137
127.4,11.137
127.5,11.137
127.6,11.136
127.7,11.136
127.8,11.136
127.9,11.134
128,11.134
128.1,11.134
128.2,11.134
128.3,11.133
128.4,11.133
128.5,11.133
128.6,11.132
128.7,11.132
128.8,11.132
128.9,11.131
129,11.131
129.1,11.13
129.2,11.13
129.3,11.129
129.4,11.129
129.5,11.129
129.6,11.127
129.7,11.127
129.8,11.127
129.9,11.126
130,11.126
130.1,11.126
130.2,11.125
130.3,11.125
130.4,11.125
130.5,11.124
130.6,11.124
130.7,11.124
130.8,11.123
130.9,11.122
131,11.122
131.1,11.122
131.2,11.122
131.3,11.121
131.4,11.121
131.5,11.12
131.6,11.12
131.7,11.12
131.8,11.12
131.9,11.118
132,11.118
132.1,11.118
132.2,11.118
132.3,11.117
132.4,11.117
132.5,11.117
132.6,11.116
132.7,11.116
132.8,11.116
132.9,11.115
133,11.115
133.1,11.115
133.2,11.114
133.3,11.114
133.4,11.114
133.5,11.113
133.6,11.113
133.7,11.113
133.8,11.113
133.9,11.111
134,11.111
134.1,11.111
134.2,11.111
134.3,11.11
134.4,11.11
134.5,11.11
134.6,11.11
134.7,11.11
134.8,11.11
134.9,11.108
135,11.108
135.1,11.108
135.2,11.108
135.3,11.107
135.4,11.107
135.5,11.107
135.6,11.106
135.7,11.106
135.8,11.106
135.9,11.105
136,11.105
136.1,11.105
136.2,11.104
136.3,11.104
136.4,11.104
136.5,11.103
136.6,11.103
136.7,11.103
136.8,11.102
136.9,11.102
137,11.102
137.1,11.102
137.2,11.101
137.3,11.1
137.4,11.1
137.5,11.1
137.6,11.099
137.7,11.099
137.8,11.099
137.9,11.098
138,11.098
138.1,11.098
138.2,11.098
138.3,11.097
138.4,11.097
138.5,11.097
138.6,11.096
138.7,11.096
138.8,11.096
138.9,11.094
139,11.094
139.1,11.094
139.2,11.094
139.3,11.094
139.4,11.094
139.5,11.094
139.6,11.093
139.7,11.093
139.8,11.092
139.9,11.092
140,11.092
140.1,11.092
140.2,11.091
140.3,11.09
140.4,11.09
140.5,11.09
140.6,11.089
140.7,11.089
140.8,11.089
140.9,11.088
141,11.088
141.1,11.088
141.2,11.087
141.3,11.087
141.4,11.087
141.5,11.086
141.6,11.086
141.7,11.086
141.8,11.086
141.9,11.085
142,11.085
142.1,11.085
142.2,11.085
142.3,11.084
142.4,11.084
142.5,11.084
142.6,11.083
142.7,11.083
142.8,11.083
142.9,11.082
143,11.082
143.1,11.082
143.2,11.082
143.3,11.081
143.4,11.081
143.5,11.08
143.6,11.08
143.7,11.08
143.8,11.08
143.9,11.078
144,11.078
144.1,11.078
144.2,11.078
144.3,11.078
144.4,11.078
144.5,11.078
144.6,11.076
144.7,11.076
144.8,11.076
144.9,11.074
145,11.074
145.1,11.074
145.2,11.074
145.3,11.073
145.4,11.073
145.5,11.073
145.6,11.072
145.7,11.072
145.8,11.071
145.9,11.07
146,11.07
146.1,11.07
146.2,11.069
146.3,11.068
146.4,11.067
146.5,11.067
146.6,11.065
146.7,11.065
146.8,11.065
146.9,11.065
147,11.064
147.1,11.064
147.2,11.063
147.3,11.063
147.4,11.063
147.5,11.062
147.6,11.061
147.7,11.061
147.8,11.06
147.9,11.059
148,11.059
148.1,11.059
148.2,11.059
148.3,11.058
148.4,11.058
148.5,11.057
148.6,11.057
148.7,11.057
148.8,11.056
148.9,11.055
149,11.055
149.1,11.055
149.2,11.055
149.3,11.054
149.4,11.054
149.5,11.054
149.6,11.053
149.7,11.052
149.8,11.052
149.9,11.051
150,11.051
150.1,11.051
150.2,11.049
150.3,11.047
150.4,11.047
150.5,11.047
150.6,11.045
150.7,11.045
150.8,11.045
150.9,11.041
151,11.041
151.1,11.041
151.2,11.041
151.3,11.041
151.4,11.041
151.5,11.041
151.6,11.041
151.7,11.041
151.8,11.041
151.9,11.041
152,11.041
152.1,11.04
152.2,11.04
152.3,11.04
152.4,11.04
152.5,11.039
152.6,11.038
152.7,11.038
152.8,11.037
152.9,11.036
153,11.036
153.1,11.036
153.2,11.036
153.3,11.035
153.4,11.035
153.5,11.034
153.6,11.033
153.7,11.033
153.8,11.033
153.9,11.032
154,11.032
154.1,11.031
154.2,11.029
154.3,11.028
154.4,11.028
154.5,11.028
154.6,11.028
154.7,11.028
154.8,11.028
154.9,11.026
155,11.026
155.1,11.026
155.2,11.026
155.3,11.025
155.4,11.024
155.5,11.024
155.6,11.024
155.7,11.024
155.8,11.024
155.9,11.022
156,11.022
156.1,11.021
156.2,11.021
156.3,11.021
156.4,11.021
156.5,11.02
156.6,11.02
156.7,11.02
156.8,11.02
156.9,11.019
157,11.019
157.1,11.018
157.2,11.018
157.3,11.017
157.4,11.017
157.5,11.017
157.6,11.017
157.7,11.017
157.8,11.017
157.9,11.016
158,11.016
158.1,11.016
158.2,11.016
158.3,11.016
158.4,11.016
158.5,11.015
158.6,11.014
158.7,11.014
158.8,11.014
158.9,11.014
159,11.013
159.1,11.013
159.2,11.013
159.3,11.013
159.4,11.013
159.5,11.013
159.6,11.012
159.7,11.011
159.8,11.01
159.9,11.01
160,11.01
160.1,11.01
160.2,11.01
160.3,11.009
160.4,11.009
160.5,11.009
160.6,11.008
160.7,11.008
160.8,11.008
160.9,11.007
161,11.007
161.1,11.007
161.2,11.007
161.3,11.006
161.4,11.006
161.5,11.006
161.6,11.005
161.7,11.005
161.8,11.005
161.9,11.004
162,11.004
162.1,11.004
162.2,11.004
162.3,11.003
162.4,11.003
162.5,11.003
162.6,11.003
162.7,11.003
162.8,11.002
162.9,11.001
163,11.001
163.1,11.001
163.2,11.001
163.3,11
163.4,11
163.5,11
163.6,11
163.7,11
163.8,10.999
163.9,10.999
164,10.998
164.1,10.998
164.2,10.998
164.3,10.998
164.4,10.998
164.5,10.998
164.6,10.996
164.7,10.996
164.8,10.996
164.9,10.996
165,10.995
165.1,10.995
165.2,10.995
165.3,10.995
165.4,10.994
165.5,10.994
165.6,10.993
165.7,10.993
165.8,10.993
165.9,10.993
166,10.993
166.1,10.992
166.2,10.992
166.3,10.989
166.4,10.989
166.5,10.989
166.6,10.989
166.7,10.989
166.8,10.989
166.9,10.989
167,10.988
167.1,10.988
167.2,10.988
167.3,10.988
167.4,10.987
167.5,10.987
167.6,10.987
167.7,10.987
167.8,10.986
167.9,10.986
168,10.986
168.1,10.986
168.2,10.985
168.3,10.985
168.4,10.985
168.5,10.985
168.6,10.984
168.7,10.984
168.8,10.983
168.9,10.983
169,10.983
169.1,10.983
169.2,10.982
169.3,10.982
169.4,10.982
169.5,10.982
169.6,10.981
169.7,10.981
169.8,10.981
169.9,10.98
170,10.98
170.1,10.979
170.2,10.976
170.3,10.973
170.4,10.973
170.5,10.973
170.6,10.973
170.7,10.972
170.8,10.972
170.9,10.972
171,10.972
171.1,10.971
171.2,10.971
171.3,10.97
171.4,10.97
171.5,10.97
171.6,10.969
171.7,10.969
171.8,10.969
171.9,10.968
172,10.968
172.1,10.967
172.2,10.967
172.3,10.967
172.4,10.967
172.5,10.966
172.6,10.965
172.7,10.965
172.8,10.965
172.9,10.965
173,10.964
173.1,10.964
173.2,10.964
173.3,10.963
173.4,10.963
173.5,10.963
173.6,10.961
173.7,10.961
173.8,10.961
173.9,10.961
174,10.96
174.1,10.96
174.2,10.96
174.3,10.959
174.4,10.959
174.5,10.959
174.6,10.959
174.7,10.959
174.8,10.958
174.9,10.956
175,10.956
175.1,10.956
175.2,10.956
175.3,10.956
175.4,10.956
175.5,10.955
175.6,10.955
175.7,10.954
175.8,10.954
175.9,10.954
176,10.954
176.1,10.954
176.2,10.954
176.3,10.953
176.4,10.953
176.5,10.953
176.6,10.952
176.7,10.952
176.8,10.952
176.9,10.952
177,10.952
177.1,10.951
177.2,10.951
177.3,10.951
177.4,10.95
177.5,10.95
177.6,10.949
177.7,10.949
177.8,10.949
177.9,10.949
178,10.948
178.1,10.948
178.2,10.948
178.3,10.948
178.4,10.947
178.5,10.947
178.6,10.946
178.7,10.946
178.8,10.945
178.9,10.945
179,10.945
179.1,10.945
179.2,10.944
179.3,10.944
179.4,10.944
