v1,v_1,t_1,points,v_2,h_1
582,19.62857588604999,59.513980658425254,0.16857184440478,1.7764017197093855,170.04972034171607
583,20.402124391551446,59.513980658425254,0.18004512390078767,30.40547962058073,178.13646918315513
584,21.175672897052895,59.513980658425254,0.19177246248965923,31.345240521603255,186.1064271557344
585,21.94922140255435,59.513980658425254,0.23980550508784723,32.31884373076851,194.05458537800806
586,22.722769908055803,59.513980658425254,0.21595601724128444,2.706842277067467,201.96338435606694
587,23.496318413557255,59.513980658425254,0.22839656610780645,0.0,0.0
588,24.269866919058707,59.513980658425254,0.24105958590774398,0.0,0.0
589,25.04341542456016,59.513980658425254,0.2887628975113418,3.881618679009841,225.40077838576354
590,25.81696393006161,59.513980658425254,0.26702478241852823,0.0,0.0
591,26.590512435563063,59.513980658425254,0.2803136950983511,0.0,0.0
592,27.364060941064515,59.513980658425254,0.2937984181583793,0.0,0.0
593,28.137609446565968,59.513980658425254,0.307472967669456,0.0,0.0
594,28.91115795206742,59.513980658425254,0.3213321911277673,0.0,0.0
595,29.684706457568872,59.513980658425254,0.36368368991131705,0.0,0.0
596,30.45825496307033,59.513980658425254,0.694514385487859,0.0,0.0
597,31.231803468571783,59.513980658425254,0.692876812859406,0.0,0.0
598,32.00535197407323,59.513980658425254,0.49556527291171004,0.0,0.0
599,32.77890047957469,59.513980658425254,0.661568583086887,0.0,0.0
600,10.34599382003256,62.562582592582736,0.05701624718780586,16.73065383001311,68.53231775267052
601,11.119542325534011,62.562582592582736,0.06551489292399364,18.01215858906043,76.54971204814156
602,11.893090831035465,62.562582592582736,0.07362562139221324,19.085175909342215,84.54265484240365
603,12.666639336536917,62.562582592582736,0.08243348364777678,20.115359831581173,92.52002463365352
604,13.44018784203837,62.562582592582736,0.0916250182909863,21.13991147915287,100.47472481090492
605,14.213736347539822,62.562582592582736,0.1011857212722354,22.193239621640462,108.4063640022925
606,14.987284853041274,62.562582592582736,0.11110195848309948,23.195321368120545,116.32549811049596
607,15.760833358542726,62.562582592582736,0.12136106401952111,24.1764609533866,124.20055520099503
608,16.534381864044178,62.562582592582736,0.1319503242681677,25.155883844768827,132.0560917145698
609,17.307930369545634,62.562582592582736,0.1428578839096132,26.139499412778992,139.87843479285982
610,18.081478875047086,62.562582592582736,0.15407295175322064,27.12975283811144,147.64489247715366
611,18.855027380548538,62.562582592582736,0.16558465655773558,28.128067319178562,155.3386684861456
612,19.62857588604999,62.562582592582736,0.1773828550198126,1.7297664600984142,163.01640347285445
613,20.402124391551446,62.562582592582736,0.1894578129802335,1.9130306641495214,170.68936593839146
614,21.175672897052895,62.562582592582736,0.20180020574654856,31.035127759120083,178.24530975133564
615,21.94922140255435,62.562582592582736,0.2144011266634101,31.995889050081338,185.77944127266397
616,22.722769908055803,62.562582592582736,0.22725222974995005,0.0,0.0
617,23.496318413557255,62.562582592582736,0.24034535032007576,0.0,0.0
618,24.269866919058707,62.562582592582736,0.2536726502364167,0.0,0.0
619,25.04341542456016,62.562582592582736,0.26722661430337746,0.0,0.0
620,25.81696393006161,62.562582592582736,0.3162167198798409,4.301270614428587,222.92605239260507
621,26.590512435563063,62.562582592582736,0.29498625184736205,0.0,0.0
622,27.364060941064515,62.562582592582736,0.3091785480832007,0.0,0.0
623,28.137609446565968,62.562582592582736,0.3235706739217919,0.0,0.0
624,28.91115795206742,62.562582592582736,0.33815711657066855,0.0,0.0
625,29.684706457568872,62.562582592582736,0.3529324819599434,0.0,0.0
626,30.45825496307033,62.562582592582736,0.39423990774306217,0.0,0.0
627,31.231803468571783,62.562582592582736,0.6858083573237492,0.0,0.0
628,32.00535197407323,62.562582592582736,0.679450988619031,0.0,0.0
629,32.77890047957469,62.562582592582736,0.660473843768845,0.0,0.0
630,10.34599382003256,65.6111845267402,0.05986705954719615,16.72094057705976,66.40209385402252
631,11.119542325534011,65.6111845267402,0.06870735750917344,17.960579614141977,73.9779965580151
632,11.893090831035465,65.6111845267402,0.07726962336180296,18.997674544021933,81.52940005583203
633,12.666639336536917,65.6111845267402,0.08651578879783953,19.99334534688936,89.06519590192273
634,13.44018784203837,65.6111845267402,0.09616479233317358,20.97889337893344,96.57832403563893
635,14.213736347539822,65.6111845267402,0.10620143332496676,21.999296615488625,104.06830458076428
636,14.987284853041274,65.6111845267402,0.11661139794765682,22.979007328307517,111.54582684722976
637,15.760833358542726,65.6111845267402,0.12738133964187245,1.0369754172801313,118.97917173897363
638,16.534381864044178,65.6111845267402,0.13849796968055467,24.8963448926705,126.39300263596765
639,17.307930369545634,65.6111845267402,0.14994885656097054,25.85874260623424,133.7735857223653
640,18.081478875047086,65.6111845267402,0.16172260344292433,26.828053797899287,141.09835861776037
641,18.855027380548538,65.6111845267402,0.1738078259583883,27.800991275129586,148.35016485405143
642,19.62857588604999,65.6111845267402,0.18619386563484513,28.787154642780614,155.5858814791813
643,20.402124391551446,65.6111845267402,0.19887050205967938,1.8558702421363182,162.81698029930575
644,21.175672897052895,65.6111845267402,0.2118279490034378,2.05382241089144,169.93081385234413
645,21.94922140255435,65.6111845267402,0.22505685815096238,31.64657685563776,177.02281739874937
646,22.722769908055803,65.6111845267402,0.23854844225861557,32.62600650630241,184.0752405501286
647,23.496318413557255,65.6111845267402,0.2902726526004574,0.0,0.0
648,24.269866919058707,65.6111845267402,0.2662857145650894,0.0,0.0
649,25.04341542456016,65.6111845267402,0.2805153021555068,0.0,0.0
650,25.81696393006161,65.6111845267402,0.29497538364366943,0.0,0.0
