v1,v_1,t_1,points,v_2,h_1
4096,32.332035880216814,36.36363636363637,0.6279373830098242,19.84004628566337,31.723162890627435
4097,32.55072078689314,36.36363636363637,0.6169763623840774,19.169720840852822,26.75728894706226
4098,32.76940569356946,36.36363636363637,0.6024125456983308,18.327103254563905,21.652383778847963
4099,32.98809060024578,36.36363636363637,0.5884376243654569,17.509433765838665,16.40690176636643
4100,11.33828483928977,37.27272727272728,0.0404325614301522,0.0,0.0
4101,11.556969745966093,37.27272727272728,0.04185281128051237,0.0,0.0
4102,11.775654652642416,37.27272727272728,0.06022436106079759,0.0,0.0
4103,11.99433955931874,37.27272727272728,0.050148379290825065,0.0,0.0
4104,12.213024465995064,37.27272727272728,0.04947711522892909,0.0,0.0
4105,12.431709372671387,37.27272727272728,0.4343934262080335,25.46343353223551,121.3826407877447
4106,12.65039427934771,37.27272727272728,0.49646639953226585,28.468444728987567,153.9905414955078
4107,12.869079186024035,37.27272727272728,0.5015637133076203,28.546656763521334,154.73421743410356
4108,13.087764092700358,37.27272727272728,0.5066340028757558,28.623556815840267,155.45863468568947
4109,13.30644899937668,37.27272727272728,0.5116778327624656,28.69916380225938,156.1638187584246
4110,13.525133906053004,37.27272727272728,0.5166956479394162,28.77349146837704,156.84979515407565
4111,13.743818812729327,37.27272727272728,0.07884430659071565,1.8075641731923868,157.3856801369017
4112,13.96250371940565,37.27272727272728,0.08078125757600373,1.8150950746638161,157.80169224921514
4113,14.181188626081974,37.27272727272728,0.08273242721925231,1.8224163840639738,158.19301799647926
4114,14.399873532758297,37.27272727272728,0.0846984775520615,1.829607840879669,158.5666956061091
4115,14.61855843943462,37.27272727272728,0.08667936195265157,1.8366839425055637,158.9240478450608
4116,14.837243346110945,37.27272727272728,0.08866203275888741,1.8425306256753804,159.16735549423953
4117,15.055928252787268,37.27272727272728,0.09063603603501257,1.8462947367257632,159.22171320067713
4118,15.274613159463591,37.27272727272728,0.09262281541813146,1.8498711089807256,159.25341362913878
4119,15.493298066139914,37.27272727272728,0.09462221792786973,1.8532642679741753,159.2628949127365
4120,15.711982972816237,37.27272727272728,0.09663409575628465,1.856478760892622,159.25059517510104
4121,15.93066787949256,37.27272727272728,0.09865986471183766,1.859648944072069,159.22835379378105
4122,16.149352786168883,37.27272727272728,0.1007063815539226,1.8633543890021036,159.2471341294711
4123,16.368037692845206,37.27272727272728,0.10276537859599362,1.8669166274262672,159.24738182784813
4124,16.58672259952153,37.27272727272728,0.10483673098000731,1.8703402753598688,159.22953483808888
4125,16.805407506197852,37.27272727272728,0.10692031839740304,1.8736299639370682,159.19403109543904
4126,17.02409241287418,37.27272727272728,0.10901602498955355,1.876790338392733,159.14130852088437
4127,17.242777319550502,37.27272727272728,0.11108644532171719,1.8768553064586846,158.8105599136415
4128,17.461462226226825,37.27272727272728,0.11316522025557713,1.8765605015625961,158.44229514013952
4129,17.680147132903148,37.27272727272728,0.11525426798490486,1.8760736381387888,158.05128615565923
4130,17.89883203957947,37.27272727272728,0.11735347804796427,1.8753993659481059,157.63797128849993
4131,18.117516946255794,37.27272727272728,0.6012907831360098,29.31831815650118,157.2027888619058
4132,18.33620185293212,37.27272727272728,0.6047588036569209,29.31747097680779,156.81542530014997
4133,18.554886759608443,37.27272727272728,0.6082437622543374,29.31748629683225,156.43370896522634
4134,18.773571666284766,37.27272727272728,0.6117043055392485,29.316360588230076,156.03177351783688
4135,18.99225657296109,37.27272727272728,0.6151255317290557,29.31337459530199,155.6003412088735
4136,19.210941479637412,37.27272727272728,0.6185052434624604,29.308423978423555,155.13808198417536
4137,19.429626386313736,37.27272727272728,0.6216737200429117,29.293346518003933,154.53960570191003
4138,19.64831129299006,37.27272727272728,0.6246416656738661,29.268682371544845,153.81207845477778
4139,19.86699619966638,37.27272727272728,0.62755964642901,29.241683513676257,153.04930663172382
